dataset,subgroup,file,model,has_anomaly_in_test,n_test,n_train,wlen,W,Wp,theta,val_metric,n_detections,n_windows_test,nab_score,raw,null,ideal,ok
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-13.csv,TSMixer,False,216,504,50,80,1,2.5,-0.0,5,0,0.0,"{'tp': 0.0, 'fp': 5.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 46.970000000000006}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-13.csv,IsolationForest,False,216,504,50,80,1,2.5,-0.0,2,0,0.0,"{'tp': 0.0, 'fp': 2.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.300000000000004}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-12.csv,Transformer,False,216,504,50,80,1,2.5,-0.0,9,0,0.0,"{'tp': 0.0, 'fp': 4.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.080000000000005}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-12.csv,TSMixer,False,216,504,50,80,1,3.5,-0.0,3,0,0.0,"{'tp': 0.0, 'fp': 3.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.190000000000005}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-15.csv,TSMixer,False,216,504,50,80,1,2.5,-0.0,15,0,0.0,"{'tp': 0.0, 'fp': 11.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 46.31}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-15.csv,IsolationForest,False,216,504,50,80,1,3.0,-0.0,13,0,0.0,"{'tp': 0.0, 'fp': 8.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 46.64}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-15.csv,TCN,False,216,504,50,80,3,4.0,-0.0,2,0,0.0,"{'tp': 0.0, 'fp': 2.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.300000000000004}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-15.csv,Transformer,False,216,504,50,80,1,2.5,-0.0,10,0,0.0,"{'tp': 0.0, 'fp': 6.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 46.86000000000001}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-18.csv,IsolationForest,False,216,504,50,80,1,2.5,-0.0,32,0,0.0,"{'tp': 0.0, 'fp': 10.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 46.42}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-19.csv,GRU,True,216,504,50,10,1,3.0,-0.75,0,1,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 212.0, 'fn': 1, 'n_windows': 1, 'weighted': 45.64}","{'tp': 0.0, 'fp': 0.0, 'tn': 212.0, 'fn': 1, 'n_windows': 1, 'weighted': 45.64}","{'tp': 1.1, 'fp': 0.0, 'tn': 212.0, 'fn': 0, 'n_windows': 1, 'weighted': 47.74}",True
